,0,1,2,3,4,5,6
309,vila_mariana,https://apartamento.mercadolivre.com.br/MLB-1906686173-apartamentos-para-venda-na-vila-mariana-em-so-paulo-ap2629-_JM#position=22&search_layout=grid&type=item&tracking_id=908f17d4-6e66-4bce-82ed-8ad11aa05491,700.000,Apartamentos Para Venda Na Vila Mariana Em São Paulo. - Ap2629,"Rua Luís Góis, Mirandópolis, São Paulo Zona Sul, São Paulo",52 m² construídos,1 quarto
310,vila_mariana,https://apartamento.mercadolivre.com.br/MLB-1906162388-apartamento-de-3-quartos-na-vila-mariana-cf69096-_JM#position=23&search_layout=grid&type=item&tracking_id=908f17d4-6e66-4bce-82ed-8ad11aa05491,660.000,Apartamento De 3 Quartos Na Vila Mariana - Cf69096,"R Paula Ney, Vila Mariana, São Paulo Zona Sul, São Paulo",94 m² construídos,3 quartos
311,vila_mariana,https://apartamento.mercadolivre.com.br/MLB-1906123082-apartamento-para-venda-em-so-paulo-vila-mariana-2-dormitorios-1-banheiro-1-vaga-cap37791-1927621-_JM#position=24&search_layout=grid&type=item&tracking_id=908f17d4-6e66-4bce-82ed-8ad11aa05491,420.000,"Apartamento Para Venda Em São Paulo, Vila Mariana, 2 Dormitórios, 1 Banheiro, 1 Vaga - Cap3779_1-1927621","Rua Jorge Tibiriçá, 926, Vila Mariana, São Paulo Zona Sul, São Paulo",60 m² construídos,2 quartos
312,vila_mariana,https://apartamento.mercadolivre.com.br/MLB-1906123004-apartamento-para-venda-em-so-paulo-vila-mariana-2-dormitorios-1-banheiro-1-vaga-dp01561-1927723-_JM#position=25&search_layout=grid&type=item&tracking_id=908f17d4-6e66-4bce-82ed-8ad11aa05491,420.000,"Apartamento Para Venda Em São Paulo, Vila Mariana, 2 Dormitórios, 1 Banheiro, 1 Vaga - Dp0156_1-1927723","Rua Jorge Tibiriçá,, Vila Mariana, São Paulo Zona Sul, São Paulo",60 m² construídos,2 quartos
313,vila_mariana,https://apartamento.mercadolivre.com.br/MLB-1905065082-apartamento-residencial-para-venda-vila-mariana-so-paulo-ap8096-ap8096-inc-_JM#position=26&search_layout=grid&type=item&tracking_id=908f17d4-6e66-4bce-82ed-8ad11aa05491,1.128.500,"Apartamento Residencial Para Venda, Vila Mariana, São Paulo - Ap8096. - Ap8096-inc","Rua Doutor Diogo De Faria, Vila Clementino, São Paulo Zona Sul, São Paulo",81 m² construídos,2 quartos
314,vila_mariana,https://apartamento.mercadolivre.com.br/MLB-1905038518-apartamento-residencial-para-venda-vila-mariana-so-paulo-ap8096-ap8096-inc-_JM#position=27&search_layout=grid&type=item&tracking_id=908f17d4-6e66-4bce-82ed-8ad11aa05491,1.128.500,"Apartamento Residencial Para Venda, Vila Mariana, São Paulo - Ap8096. - Ap8096-inc","Rua Doutor Diogo De Faria, Vila Clementino, São Paulo Zona Sul, São Paulo",81 m² construídos,2 quartos
315,vila_mariana,https://apartamento.mercadolivre.com.br/MLB-1905019293-apartamento-residencial-para-venda-vila-mariana-so-paulo-ap8096-ap8096-inc-_JM#position=28&search_layout=grid&type=item&tracking_id=908f17d4-6e66-4bce-82ed-8ad11aa05491,1.128.500,"Apartamento Residencial Para Venda, Vila Mariana, São Paulo - Ap8096. - Ap8096-inc","Vila Clementino, São Paulo Zona Sul, São Paulo",81 m² construídos,2 quartos
316,vila_mariana,https://apartamento.mercadolivre.com.br/MLB-1904553130-apartamento-residencial-para-venda-vila-mariana-so-paulo-ap8096-ap8096-inc-_JM#position=29&search_layout=grid&type=item&tracking_id=908f17d4-6e66-4bce-82ed-8ad11aa05491,1.128.500,"Apartamento Residencial Para Venda, Vila Mariana, São Paulo - Ap8096. - Ap8096-inc","Rua Doutor Diogo De Faria, Vila Clementino, São Paulo Zona Sul, São Paulo",81 m² construídos,2 quartos
317,vila_mariana,https://apartamento.mercadolivre.com.br/MLB-1904460724-apartamento-venda-no-bairro-vila-mariana-so-paulosp-o-11089-20601-_JM#position=30&search_layout=grid&type=item&tracking_id=908f17d4-6e66-4bce-82ed-8ad11aa05491,560.000,Apartamento À Venda No Bairro Vila Mariana - São Paulo/sp - O-11089-20601,"Rua Afonso Celso, Vila Mariana, São Paulo Zona Sul, São Paulo",77 m² construídos,2 quartos
318,vila_mariana,https://apartamento.mercadolivre.com.br/MLB-1904388256-vila-mariana-75-util-2-dts-csendo-1-suite-2-vagas-pj54779-_JM#position=31&search_layout=grid&type=item&tracking_id=908f17d4-6e66-4bce-82ed-8ad11aa05491,1.300.000,Vila Mariana 75 Util 2 Dts Csendo 1 Suite 2 Vagas - Pj54779,"R Machado De Assis, Vila Mariana, São Paulo Zona Sul, São Paulo",76 m² construídos,2 quartos
319,vila_mariana,https://apartamento.mercadolivre.com.br/MLB-1904003581-apartamento-para-compra-com-1-quarto-e-1-vaga-localizado-na-vila-mariana-ad0539-_JM#position=32&search_layout=grid&type=item&tracking_id=908f17d4-6e66-4bce-82ed-8ad11aa05491,990.000,Apartamento Para Compra Com 1 Quarto E 1 Vaga Localizado Na Vila Mariana - Ad0539,"Rua Caravelas, Vila Mariana, São Paulo Zona Sul, São Paulo",60 m² construídos,1 quarto
320,vila_mariana,https://apartamento.mercadolivre.com.br/MLB-1902966369-apartamento-duplex-em-vila-mariana-218m2-3-dormitorios-1-suite-com-3-vagas-de-garagem-iq27035-_JM#position=33&search_layout=grid&type=item&tracking_id=908f17d4-6e66-4bce-82ed-8ad11aa05491,1.500.000,"Apartamento Duplex Em Vila Mariana,  218m2, 3 Dormitórios, 1 Suíte Com 3 Vagas De Garagem. - Iq27035","R Doutor Thirso Martins, Vila Mariana, São Paulo Zona Sul, São Paulo",218 m² construídos,3 quartos
321,vila_mariana,https://apartamento.mercadolivre.com.br/MLB-1906388094-apartamento-para-venda-em-so-paulo-aclimaco-4-dormitorios-4-suites-5-banheiros-3-vagas-0181-1838048-_JM#position=34&search_layout=grid&type=item&tracking_id=908f17d4-6e66-4bce-82ed-8ad11aa05491,2.740.000,"Apartamento Para Venda Em São Paulo, Aclimação, 4 Dormitórios, 4 Suítes, 5 Banheiros, 3 Vagas - 018_1-1838048","Avenida Engenheiro Luiz Gomes Cardim Sangirardi, 261, Vila Mariana, São Paulo Zona Sul, São Paulo",254 m² construídos,4 quartos
322,vila_mariana,https://apartamento.mercadolivre.com.br/MLB-1900941729-apartamento-em-vila-mariana-so-paulo-sp-331738-_JM#position=35&search_layout=grid&type=item&tracking_id=908f17d4-6e66-4bce-82ed-8ad11aa05491,483.882,"Apartamento Em Vila Mariana - São Paulo, Sp - 331738","Rua Carlos Petit, 215, Vila Mariana, São Paulo Zona Sul, São Paulo",38 m² construídos,1 quarto
323,vila_mariana,https://apartamento.mercadolivre.com.br/MLB-1906685121-apartamento-jardim-da-gloria-sp-644047-_JM#position=36&search_layout=grid&type=item&tracking_id=908f17d4-6e66-4bce-82ed-8ad11aa05491,700.000,Apartamento - Jardim Da Glória  - Sp - 644047,"R Francisco Cruz, Vila Mariana, São Paulo Zona Sul, São Paulo",70 m² construídos,2 quartos
